id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
252933,Room vibrant but cozy Schoeneberg,1328204,Jairo,Tempelhof - SchÃ¶neberg,SchÃ¶neberg-Nord,52.49839,13.35009,Private room,80,2,113,03/01/19,1.44,2,112
252967,Pension am Traveplatz Zimmer 1,1328326,Wolfram,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ_d FK,52.51144,13.47146,Private room,32,2,40,14/10/18,0.48,3,159
252993,Pension am Traveplatz Zimmer 2,1328326,Wolfram,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ_d FK,52.51207,13.47165,Private room,32,2,137,24/02/19,1.67,3,124
253005,Pension am Traveplatz Zimmer 3,1328326,Wolfram,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ_d FK,52.51122,13.47062,Private room,28,2,36,02/03/19,0.41,3,256
253128,Studion Apartment in KreuzkÃ¶lln,1329012,Bea,NeukÃ¶lln,ReuterstraÃŸe,52.49114,13.42831,Private room,49,3,64,01/01/19,1.11,2,66
254762,Cosy StudioFlat in trendy Kreuzberg,1171000,Bernardo,Friedrichshain-Kreuzberg,nÃ¶rdliche Luisenstadt,52.50323,13.43322,Entire home/apt,80,93,95,22/07/18,1.06,3,89
254788,Cosy Flat in Kreuzberg 36!,1171000,Bernardo,Friedrichshain-Kreuzberg,SÃ_dliche Friedrichstadt,52.49768,13.41314,Entire home/apt,50,93,100,06/01/19,1.15,3,0
255557,Cosy studio FridayBerlin for you,1343263,Agnieszka,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ_d FK,52.50898,13.46649,Entire home/apt,55,3,121,03/03/19,1.49,1,191
255722,Renovated apt in an old building,1344455,Wolfram,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49595,13.38529,Entire home/apt,75,3,92,27/02/19,1.05,1,192
255778,Beautiful apt. in a great location,1344754,Bwk,Friedrichshain-Kreuzberg,sÃ_dliche Luisenstadt,52.49701,13.4437,Entire home/apt,96,2,154,08/02/19,2.84,1,197
255829,Idyllic located Apartment,1345035,Sylvia,Tempelhof - SchÃ¶neberg,Lichtenrade,52.39179,13.41011,Entire home/apt,51,3,42,23/02/19,0.54,2,239
256058,TOP Furnished Room in Graefekiez,1346383,Gaby,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49429,13.41749,Private room,33,1,74,04/11/18,0.92,1,364
257317,Apartment in the heart of Berlin,1354122,Heike & Heinrich,Steglitz - Zehlendorf,Albrechtstr.,52.4637,13.34194,Entire home/apt,59,2,76,07/03/19,0.99,3,182
257359,Double room A1 in Berlin,1354351,Backpacker,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ_d FK,52.50777,13.46273,Private room,49,1,4,24/09/18,0.07,10,363
257373,Sunny Boutique Studio in Center,1303212,David,Pankow,Prenzlauer Berg SÃ_dwest,52.53861,13.41678,Entire home/apt,99,2,124,06/03/19,1.44,1,1
257377,Room for four people,1354351,Backpacker,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ_d FK,52.50898,13.46266,Shared room,14,4,30,21/02/19,0.36,10,123
257378,Double Bedroom,1354351,Backpacker,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ_d FK,52.50817,13.46097,Private room,50,4,2,13/05/18,0.04,10,365
257658,Awesome Location Mitte / P'berg,1356042,Boris,Pankow,Prenzlauer Berg SÃ_dwest,52.53025,13.41056,Private room,49,2,209,03/03/19,2.49,1,9
257766,100 qm Penthouse-Loft Berlin-Mitte,689674,Lisa,Mitte,Regierungsviertel,52.51908,13.39615,Entire home/apt,158,5,68,28/01/19,0.77,1,60
260095,Nice Apartment in Berlin,1365065,Lutz,NeukÃ¶lln,Buckow,52.42482,13.44685,Entire home/apt,55,1,39,02/01/19,0.66,1,288
261205,Hip and lots of space in B- Fhain ,1355421,Markus,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ_d FK,52.50988,13.45487,Entire home/apt,60,14,0,,,1,340
261452,"Wendt apartment, 1st floor, central",1371414,Niklas,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ_d FK,52.49983,13.46436,Entire home/apt,55,3,72,21/10/18,0.81,4,204
261834,"Sightseeing, relaxing and Shopping",253136,Peter,Mitte,Regierungsviertel,52.51109,13.38289,Private room,60,2,134,16/02/19,1.53,3,154
262852,Big Bright Balcony Home in Neukolln,843975,Jack,NeukÃ¶lln,Rixdorf,52.47846,13.44479,Private room,30,2,27,30/05/17,0.3,1,272
263817,Lovely_room_Berlin_NeukÃ¶lln,1152791,ClaasFlorian,NeukÃ¶lln,ReuterstraÃŸe,52.4893,13.42606,Private room,45,2,5,07/03/19,0.72,1,313
264459,"Central, cosy and one-of-a-kind",1250154,Henrik,Pankow,Prenzlauer Berg SÃ_dwest,52.53203,13.41705,Entire home/apt,60,2,446,21/02/19,5.27,2,34
265354,Nice apartment in Berlin,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-SÃ_d,52.50935,13.44577,Private room,85,1,5,15/02/19,0.09,15,248
265389,Beautiful single room in Berlin,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-SÃ_d,52.50888,13.44705,Private room,19,1,1,22/01/16,0.03,15,14
265394,Stylish double room in Berlin,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-SÃ_d,52.50948,13.44656,Private room,59,1,6,03/12/18,0.12,15,311
265400,Lovely 2-bed room in Berlin,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-SÃ_d,52.50876,13.44517,Private room,29,1,1,01/10/15,0.02,15,231
265402,Nice room for 3 persons,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-SÃ_d,52.51064,13.44567,Shared room,18,1,10,14/10/18,0.21,15,249
265408,Elegant 4-bed room in Berlin,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-SÃ_d,52.51093,13.44706,Shared room,20,1,5,24/11/17,0.09,15,286
265444,Nice and big 8-bed-room in Berlin,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-SÃ_d,52.51044,13.44533,Shared room,15,1,73,26/09/18,0.91,15,274
265559,family-oasis Berlin-Charlottenburg,1392678,Peter & Jan Ramesh,Charlottenburg-Wilm.,Westend,52.51234,13.26308,Entire home/apt,98,3,10,01/03/19,0.12,1,164
265955,Top Central Charming Relaxed Berlin,1394961,Antonella,Tempelhof - SchÃ¶neberg,SchÃ¶neberg-Nord,52.49164,13.34994,Entire home/apt,55,93,11,15/12/16,0.14,1,187
266086,Private Ferienwohnung in Berlin,1395425,HansjÃ¶rg,Treptow - KÃ¶penick,Baumschulenweg,52.45117,13.48789,Entire home/apt,85,3,5,04/09/18,0.09,1,342
266181,Single Room Apt in heart of  F'hain,1395699,Mat,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ_d FK,52.50918,13.46036,Entire home/apt,48,2,33,16/12/18,0.41,1,0
267399,Attention to Every Little Detail.,1402232,Abigail,NeukÃ¶lln,ReuterstraÃŸe,52.48936,13.42643,Entire home/apt,55,62,40,26/04/16,0.48,1,280
267764,Berlin Mitte luxury,1382226,P. Oliver,Mitte,Brunnenstr. SÃ_d,52.53785,13.39818,Entire home/apt,129,2,91,18/11/18,1.08,1,38
267951,Modernes Apartment in Berlin PÂ´berg,1404760,Frank,Pankow,Helmholtzplatz,52.54416,13.42026,Entire home/apt,74,2,62,04/03/19,1.02,1,103
268910,Southeast of Berlin - fantastic apartment,1408921,Dieter,Treptow - KÃ¶penick,Altglienicke,52.41706,13.54247,Entire home/apt,46,3,17,02/02/19,0.32,1,200
268967,"Wendt-Apartment, 2nd floor, quiet",1371414,Niklas,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ_d FK,52.50005,13.46144,Entire home/apt,55,3,69,24/02/19,0.87,4,215
268974,Flat Familie Heucke,1409188,Peter,NeukÃ¶lln,Rudow,52.41939,13.48618,Entire home/apt,55,5,16,05/01/19,0.22,1,252
269455,rent a flat or room in kreuzberg,1411715,L. Anabel,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49563,13.40094,Entire home/apt,65,1,2,26/07/18,0.25,1,0
270477,QUIET GARDEN APT(child friendly),540534,Doris,Pankow,Helmholtzplatz,52.54336,13.41736,Entire home/apt,89,3,180,09/02/19,2.05,1,295
271340,Central & Homelike Apartment,1420077,Kai,Mitte,Brunnenstr. SÃ_d,52.53871,13.40287,Entire home/apt,70,5,66,22/02/19,0.8,1,73
271739,"X-Berg: central, quiet, bright, cosy and large",1422088,Gabriele,Friedrichshain-Kreuzberg,nÃ¶rdliche Luisenstadt,52.50329,13.42017,Private room,39,3,217,24/02/19,2.65,2,208
273011,Luxurious 2BR in prime location,1428703,Susanne,Charlottenburg-Wilm.,Halensee,52.49741,13.29651,Entire home/apt,125,3,67,27/12/18,0.84,1,183
273076,"nice apartment in Samoastr., Berlin",1428852,Jane,Mitte,Wedding Zentrum,52.54179,13.35419,Entire home/apt,61,6,6,05/08/18,0.09,2,62
273106,"beautiful stylish apartment, Berlin",1428852,Jane,Mitte,Wedding Zentrum,52.54386,13.35737,Entire home/apt,64,62,18,01/11/17,0.22,2,159
274072,PRETTY + CENTRAL,1433140,Dan,Pankow,Prenzlauer Berg Nord,52.54947,13.41732,Entire home/apt,60,3,126,28/08/17,1.49,1,60
